date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,is_down_day,price_down_ratio,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale
2025-12-08,91728.0864359336,94412.5482067781,95010.31294088792,90866.27026331754,797660.0,74711403600.0,1053690.0,-0.2783711266978205,32,price_down_speculation_up,-0.3275542815753649,0.028875957823667253,0,0.5,-0.1842864490624156,0.19373657815733059,-0.3275542815753649,0,1.0,1.0
2025-12-09,94169.64400943472,92396.22369720136,94346.34559332224,91932.0936839109,658380.0,61468541620.0,1022990.0,-0.4407027185020209,32,price_down_speculation_up,-0.8577787320442019,-0.021356530968327125,1,0.6,-0.21783716307771844,0.17524421173336616,-0.8577787320442019,0,1.0,1.0
2025-12-10,92509.38216747611,95566.96369037496,96377.8973389726,92485.6714515118,786721.0,74649888500.0,1040523.0,-0.279605075583625,32,price_down_speculation_up,-0.10061429806604222,0.034316770386251694,0,0.5,-0.25970886274204186,0.1333787738731817,-0.10061429806604222,0,1.0,1.0
2025-12-11,95648.02809816114,98510.09342365916,99134.08583303752,95109.51829529372,916030.0,89519434520.0,1063114.0,-0.1489085010122777,32,price_down_speculation_up,0.9264620664682091,0.030796518165205677,0,0.4,-0.27898810114072276,0.09470165207830716,0.9264620664682091,0,1.0,1.0
2025-12-12,99217.16743064365,97397.64133122387,101239.12585898608,97307.12771298915,933571.0,92904970440.0,1055570.0,-0.1228191664329722,32,price_down_speculation_up,1.1122773580531835,-0.01129277268727169,1,0.5,-0.27898810114072276,0.09470165207830716,1.1122773580531835,0,1.0,1.0
2025-12-15,97619.1259919536,100757.24435037804,100889.7477027956,97049.20803316263,850720.0,84432867100.0,1079143.0,-0.2378394368412476,32,price_down_speculation_up,0.2360845111187372,0.03449367944885884,0,0.5,-0.27898810114072276,0.11756126525675516,0.2360845111187372,0,1.0,1.0
2025-12-16,101100.82794813174,100362.44145363112,101922.11573169942,99600.43815307198,747122.0,75366376300.0,1084952.0,-0.3730625336206029,32,price_down_speculation_up,-0.80201541716554,-0.003918357427223906,1,0.5,-0.25810528176953407,0.09667844588556647,-0.80201541716554,0,1.0,1.0
2025-12-17,101295.32898209298,108400.26703020018,109587.2668483119,101193.02767984728,1496124.0,159942972260.0,1078305.0,0.3274873999941869,32,price_down_speculation_up,4.085469610584218,0.08008798371333614,0,0.4,-0.25810528176953407,0.09667844588556647,4.085469610584218,0,1.0,1.0
2025-12-18,107477.65326172506,106093.20558115456,109766.5623877292,104632.588919606,1311248.0,140650578460.0,1066231.0,0.2068493552607957,32,price_down_speculation_up,2.7981437817703303,-0.02128280226840107,1,0.5,-0.25810528176953407,0.11207701630416259,2.7981437817703303,0,1.0,1.0
2025-12-19,105974.6308897307,111306.9801743984,113395.26791912231,105640.0232253666,1201502.0,132184460240.0,1052074.0,0.132808986731991,32,price_down_speculation_up,2.1072931108117126,0.04914334112805774,0,0.4,-0.25810528176953407,0.12512168359381534,2.1072931108117126,0,1.0,1.0
2025-12-22,109222.42648131136,114367.91199111343,116426.00999874924,108990.26848739096,1348497.0,153719491540.0,1078482.0,0.2234361420402812,32,price_down_speculation_up,2.1144322785469356,0.027499908917833382,0,0.4,-0.19337396892676265,0.1329598356753513,2.1144322785469356,0,1.0,1.0
2025-12-23,113910.09381126772,120307.89126146983,120413.14911482352,113729.33259349682,983944.0,115965242780.0,1084473.0,-0.0972804488277718,32,price_down_speculation_up,0.10288832454018759,0.05193746363768481,0,0.3,-0.13586383372262495,0.25293576017629693,0.10288832454018759,0,1.0,1.0
2025-12-24,121896.86342590456,124702.76002600374,127879.23811572068,118201.52250483094,1341782.0,165156216120.0,1075229.0,0.2214649190915442,32,price_down_speculation_up,1.0843646724756362,0.036530178681150494,0,0.3,-0.110049807630372,0.20620703115780803,1.0843646724756362,0,1.0,1.0
2025-12-25,119346.05829343847,123776.4832185734,124737.15428842993,116316.19579867784,1532681.0,185602954340.0,1072674.0,0.3568638930981281,32,price_down_speculation_up,1.1646021828386832,-0.007427877356020018,1,0.4,0.017764268952109606,0.19639286822406032,1.1646021828386832,0,1.0,1.0
