date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal
2025-02-25,76777.67336116197,down_trend,31.0,0,,31,price_up_speculation_up,0.7034986243688867,-0.000954300557895027,76973.22671022109,77062.17261598849,77744.58615778197,0,375632.0,381821.0,384463.0,0,-0.9391642353095,-1.0332903217918887,0.09024491784123434,0.7034986243688867,0,1.0,0
2025-02-26,76178.82043329345,down_trend,31.0,0,,31,price_up_speculation_up,1.9985372006175612,-0.007799831665274759,76746.38710566287,76932.75734758188,77640.02826442468,0,389482.0,383666.6,384851.0,0,-0.7683115507478833,-1.0332903217918887,0.08942827407469356,1.9985372006175612,0,1.0,0
2025-02-27,76335.32661723981,down_trend,31.0,0,,31,price_up_speculation_up,-0.10692132786515895,0.0020544579589993894,76570.20349478623,76838.03572218539,77511.04242795317,0,384946.0,385492.2,384537.5,1,-1.0118107033651984,-0.992792854772598,0.119970106964428,-0.10692132786515895,0,1.0,0
2025-02-28,75445.06941462003,down_trend,31.0,0,,31,price_up_speculation_up,1.366860928217932,-0.01166245357256035,76317.58043028277,76704.70320811405,77316.22868303853,0,400492.0,387854.2,385238.1,1,-0.8478889748716509,-1.0291160888004471,0.08942827407469356,1.366860928217932,0,1.0,0
2025-03-03,75680.27852450938,down_trend,31.0,0,,31,price_up_speculation_up,-1.326140578807609,0.003117620696943435,76083.43367016493,76557.50185132402,77132.05075976688,0,391707.0,388451.8,385897.7,1,-1.2049442398578514,-1.0291160888004471,0.08942827407469356,-1.326140578807609,0,1.0,0
2025-03-04,75527.12004578476,down_trend,31.0,0,,31,price_up_speculation_up,-1.2411640338367578,-0.0020237568057446254,75833.3230070895,76403.27485865529,76937.0266008671,0,387902.0,390905.8,386363.4,1,-1.2934343778976378,-1.061172630998089,0.126218934638743,-1.2411640338367578,0,1.0,0
2025-03-05,75599.01703994264,down_trend,31.0,0,,31,price_up_speculation_up,-0.26341343321745625,0.0009519361272387616,75717.36232841932,76231.8747170411,76815.74588236603,0,379344.0,388878.2,386272.4,1,-1.1104657642890756,-1.061172630998089,0.126218934638743,-0.26341343321745625,0,1.0,0
2025-03-06,77013.02660503009,down_trend,31.0,0,,31,price_up_speculation_up,1.7849592698204715,0.018704073418578382,75852.90232597738,76211.55291038181,76793.88556894426,0,371208.0,386130.6,385811.4,1,-0.7272059201552226,-1.061138233827137,0.126184537467791,1.7849592698204715,0,1.0,0
2025-03-07,76397.8622895749,down_trend,31.0,0,,31,price_up_speculation_up,1.6309377173382882,-0.007987795605152948,76043.46090096835,76180.52066562556,76728.13320382599,0,373886.0,380809.4,384331.8,0,-0.643634622676949,-0.9754874693373492,0.13724109522872496,1.6309377173382882,0,1.0,0
2025-03-10,76014.01416184894,down_trend,31.0,0,,31,price_up_speculation_up,-0.4063482415505327,-0.005024330736782101,76110.20802843626,76096.8208493006,76603.02956523495,0,372409.0,376949.8,382700.8,0,-1.0799164261910437,-0.9754874693373492,0.17333990704759472,-0.4063482415505327,0,1.0,0
