date,open,close,high,low,volume,total_turnover,open_interest,speculation
2022-09-23,61970.46966844396,60445.41133678868,62064.9608025336,60285.90125251755,232400.0,71355137300.0,425041.0,-0.603725609881908
2022-09-24,60451.33231708752,60435.26824132671,60490.21874640219,60403.44912970479,6552.0,1991975600.0,425531.0,-4.17356745427299
2022-09-26,60302.9162588796,60014.8463159569,60588.01949847077,59501.713469557,298686.0,90220887850.0,427533.0,-0.358638624025403
2022-09-27,60009.56562620603,60052.12033196975,60476.11474584801,59599.9974098463,204166.0,61652760150.0,424858.0,-0.732821607008302
2022-09-28,60049.138321461694,60460.81144003591,60522.87629379636,59520.13311715015,235279.0,70852457600.0,425663.0,-0.5928759094067181
2022-09-29,60466.376932455394,60596.91023636313,60884.07890752165,60086.18135030972,209658.0,63742421250.0,419524.0,-0.6936431035113138
2022-09-30,60595.64822031695,60736.47692873847,60761.28747967094,60497.22061219282,117987.0,36001664600.0,421195.0,-1.2725214604391222
2022-10-10,60506.15411040852,61556.81034201385,61869.88499112004,60432.53702418212,221165.0,67799482150.0,428930.0,-0.6623847061704157
2022-10-11,61548.81872948376,61716.30385654348,61912.42621120221,61267.51497462633,196790.0,61059206050.0,434975.0,-0.7931513878537816
2022-10-12,61725.80091864603,61636.26227532335,61966.768659078334,61339.50002185521,179775.0,55878494450.0,438074.0,-0.8906817768891725
2022-10-13,61631.90804534737,62001.2846829153,62158.519256594765,61062.94540756487,214778.0,66551959750.0,439914.0,-0.7169743167303986
2022-10-14,62005.55206654039,62090.615769249605,62693.38491445316,61857.781787523374,221979.0,69743399800.0,449178.0,-0.7048364629043354
2022-10-15,62095.66667334576,62152.35850256497,62190.73721378129,62040.901225442176,5985.0,1874145450.0,448153.0,-4.315878352958243
2022-10-17,62183.89335053029,61970.843737956704,62402.62867595915,61767.38490503042,192762.0,60163461700.0,430738.0,-0.8040437493185492
2022-10-18,61970.24550716092,61361.02448557413,62065.52340522694,61214.95029149117,186249.0,57693420800.0,428293.0,-0.8327230526856941
2022-10-19,61354.2005603549,61148.02958834623,61549.368717461766,61046.8558326168,162132.0,49949325600.0,427398.0,-0.9693048451510932
2022-10-20,61151.57678494133,62107.26673441984,62305.80732432764,60985.23820667512,201933.0,62458974350.0,434912.0,-0.7672077525590772
2022-10-21,62104.19921134015,62719.61775946251,62819.385241531694,61648.88039646968,239904.0,74899797850.0,441162.0,-0.6091733116096025
2022-10-22,62718.672463071714,62760.54165668329,62817.827961752206,62690.23642787579,11237.0,3538215900.0,442402.0,-3.673007066067801
2022-10-24,62915.939404606375,62890.30655875307,63297.4865746842,62558.59647107932,213520.0,67439043450.0,456291.0,-0.7594002587766924
2022-10-25,62896.96135091006,62605.520177752485,62965.95284897817,62373.91724915495,174772.0,55046565250.0,456815.0,-0.9607962276061237
2022-10-26,62604.86562335135,63389.274456865016,63472.25063653826,62374.06686575285,206356.0,65020425450.0,467057.0,-0.8168484733081162
2022-10-27,63389.29576288786,63616.15529762301,63877.656783137085,63130.4641025918,190400.0,60561863400.0,465841.0,-0.8947172518290928
