date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_first_diff,speculation_down_flag,speculation_down_days,speculation_down_streak,signal,position_scale,is_effective_signal,open,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_price_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2025-12-09,92396.22369720136,up_trend,41.0,1,40.0,23,speculation_continuous_drop,2.0,-0.4407027185020209,-0.1623315918042004,1.0,2.0,1,0,1.0,0,94169.64400943472,down_trend,-1.0,53.0,-1.0,-1.0,-1773.4203122333565,1773.4203122333565,1773.4203122333565,45482.497959455046,50920.41589105238,90708.09774293537,45225.59978348032
2025-12-10,95566.96369037496,up_trend,41.0,0,,23,speculation_continuous_drop,2.0,-0.279605075583625,0.1610976429183959,0.0,2.0,0,0,1.0,0,92509.38216747611,up_trend,1.0,54.0,-1.0,-1.0,3057.5815228988504,-3057.5815228988504,-3057.5815228988504,42424.916436556196,47862.834368153526,90708.09774293537,48283.18130637917
2025-12-11,98510.09342365916,up_trend,41.0,0,,23,speculation_continuous_drop,2.0,-0.1489085010122777,0.1306965745713473,0.0,2.0,0,0,1.0,0,95648.02809816114,up_trend,1.0,54.0,1.0,1.0,2862.0653254980134,2862.0653254980134,2862.0653254980134,45286.98176205421,50724.89969365154,90708.09774293537,45421.11598088116
2025-12-12,97397.64133122387,up_trend,41.0,0,,23,speculation_continuous_drop,1.0,-0.1228191664329722,0.0260893345793055,0.0,1.0,0,0,1.0,0,99217.16743064365,up_trend,1.0,54.0,1.0,1.0,-1819.5260994197743,-1819.5260994197743,-1819.5260994197743,43467.455662634435,48905.373594231765,90708.09774293537,47240.64208030093
2025-12-15,100757.24435037804,up_trend,41.0,0,,23,speculation_continuous_drop,2.0,-0.2378394368412476,-0.1150202704082754,1.0,2.0,1,0,1.0,0,97619.1259919536,up_trend,1.0,54.0,1.0,1.0,3138.1183584244427,3138.1183584244427,3138.1183584244427,46605.57402105888,52043.49195265621,90708.09774293537,44102.52372187649
2025-12-16,100362.44145363112,up_trend,41.0,0,,23,speculation_continuous_drop,2.0,-0.3730625336206029,-0.1352230967793553,1.0,2.0,2,0,1.0,0,101100.82794813174,up_trend,1.0,54.0,1.0,1.0,-738.3864945006208,-738.3864945006208,-738.3864945006208,45867.18752655826,51305.10545815559,90708.09774293537,44840.91021637711
2025-12-17,108400.26703020018,up_trend,41.0,0,,23,speculation_continuous_drop,2.0,0.3274873999941869,0.7005499336147898,0.0,2.0,0,0,1.0,0,101295.32898209298,up_trend,1.0,54.0,1.0,1.0,7104.9380481072,7104.9380481072,7104.9380481072,52972.12557466546,58410.04350626279,90708.09774293537,37735.97216826991
2025-12-18,106093.20558115456,up_trend,41.0,0,,23,speculation_continuous_drop,3.0,0.2068493552607957,-0.1206380447333912,1.0,3.0,1,0,1.0,0,107477.65326172506,up_trend,1.0,54.0,1.0,1.0,-1384.4476805705053,-1384.4476805705053,-1384.4476805705053,51587.67789409495,57025.59582569228,90708.09774293537,39120.419848840414
2025-12-19,111306.9801743984,up_trend,41.0,0,,23,speculation_continuous_drop,4.0,0.132808986731991,-0.0740403685288046,1.0,4.0,2,1,0.5,0,105974.6308897307,up_trend,1.0,54.0,1.0,1.0,5332.349284667696,5332.349284667696,5332.349284667696,56920.02717876265,62357.94511035998,90708.09774293537,33788.07056417272
2025-12-22,114367.91199111343,up_trend,41.0,0,,23,speculation_continuous_drop,3.0,0.2234361420402812,0.0906271553082901,0.0,3.0,0,0,1.0,0,109222.42648131136,up_trend,1.0,54.0,1.0,0.5,5145.485509802078,2572.742754901039,5145.485509802078,59492.76993366369,67503.43062016205,90708.09774293537,31215.32780927168
